graph_id,node_index,op,fused_nodes,worker_us,barrier_us,graph_elapsed_us,name,src0,src1
36,66,SCALE,0,1,1,854,"ffn_moe_inp-35","node_5875",""
36,102,ADD,0,1,0,1609,"ffn_moe_out-35","node_5911","ffn_moe_weighted-35 (view)"
36,106,MUL_MAT,0,28,14,1728,"ffn_shexp-35","blk.35.ffn_down_shexp.weight","ffn_swiglu-35"
36,109,MUL,0,2,0,1740,"ffn_shexp_gated-35","ffn_shexp-35","shared_expert_gate_sigmoid-35"
36,110,ADD,0,1,1,1742,"ffn_out-35","ffn_moe_out-35","ffn_shexp_gated-35"
36,184,RMS_NORM,0,0,2,3002,"norm-36","attn_output-36",""
37,5,MUL_MAT,0,302,62,748,"linear_attn_out-36","blk.36.ssm_out.weight","final_output-36"
37,34,SCALE,0,0,2,1010,"ffn_moe_inp-36","node_6029",""
37,70,ADD,0,1,1,1884,"ffn_moe_out-36","node_6065","ffn_moe_weighted-36 (view)"
37,74,MUL_MAT,0,29,13,2006,"ffn_shexp-36","blk.36.ffn_down_shexp.weight","ffn_swiglu-36"
37,77,MUL,0,1,1,2013,"ffn_shexp_gated-36","ffn_shexp-36","shared_expert_gate_sigmoid-36"
37,78,ADD,0,1,0,2014,"ffn_out-36","ffn_moe_out-36","ffn_shexp_gated-36"
37,152,RMS_NORM,0,0,1,3343,"norm-37","attn_output-37",""
38,5,MUL_MAT,0,279,47,637,"linear_attn_out-37","blk.37.ssm_out.weight","final_output-37"
38,34,SCALE,0,1,94,971,"ffn_moe_inp-37","node_6183",""
38,70,ADD,0,1,1,1783,"ffn_moe_out-37","node_6219","ffn_moe_weighted-37 (view)"
38,74,MUL_MAT,0,28,15,1904,"ffn_shexp-37","blk.37.ffn_down_shexp.weight","ffn_swiglu-37"
38,77,MUL,0,2,0,1914,"ffn_shexp_gated-37","ffn_shexp-37","shared_expert_gate_sigmoid-37"
38,78,ADD,0,1,1,1917,"ffn_out-37","ffn_moe_out-37","ffn_shexp_gated-37"
38,152,RMS_NORM,0,1,1,3267,"norm-38","attn_output-38",""
39,5,MUL_MAT,0,181,154,668,"linear_attn_out-38","blk.38.ssm_out.weight","final_output-38"
39,34,SCALE,0,1,17,964,"ffn_moe_inp-38","node_6337",""
39,70,ADD,0,1,1,1972,"ffn_moe_out-38","node_6373","ffn_moe_weighted-38 (view)"
39,74,MUL_MAT,0,20,17,2091,"ffn_shexp-38","blk.38.ffn_down_shexp.weight","ffn_swiglu-38"
39,77,MUL,0,2,0,2099,"ffn_shexp_gated-38","ffn_shexp-38","shared_expert_gate_sigmoid-38"
39,78,ADD,0,1,1,2101,"ffn_out-38","ffn_moe_out-38","ffn_shexp_gated-38"
